carAge;dureeGarantie;kilometrage;marqueModele;prixTtc;puissanceFiscale;tauxCo2;typeEnergie;dureeTotale;valeurRachat
23;2;26464;27;24990.0;7;129;3;60.0;10916.69
6;18;19;59;40860.0;8;126;3;60.0;16949.0
7;30;10;69;32864.0;7;144;7;60.0;15676.8
6;19;4;29;36860.0;7;130;3;60.0;14405.87
8;17;37;47;36660.0;8;127;5;60.0;16215.02
3;22;10;94;21764.0;5;117;1;60.0;9787.66
17;8;10;27;28800.0;6;113;3;60.0;9499.64
7;18;31;9;59860.0;9;148;5;60.0;27852.88
8;17;10;35;26490.0;6;139;3;60.0;11747.67
9;16;2;27;30060.0;7;129;3;60.0;12268.12
30;0;32221;29;31360.0;9;163;3;54.0;11398.95
3;22;10;93;24664.0;5;107;6;60.0;12032.63
5;19;1;29;42860.0;10;29;7;60.0;19683.39
21;4;13243;85;39990.0;10;28;7;60.0;14724.06
6;19;10;76;29490.0;7;123;1;60.0;12110.8
9;16;10;29;35490.0;7;140;1;60.0;13831.27
12;13;300;81;34990.0;7;130;3;60.0;13519.9
17;8;5236;85;43990.0;10;28;7;60.0;15587.45
50;0;69003;46;17690.0;6;90;3;30.0;6776.58
16;9;10;94;18990.0;5;117;1;60.0;7841.78
8;17;10;82;29990.0;7;114;3;60.0;11318.77
8;16;10;82;28990.0;7;114;3;60.0;10272.4
6;19;10;44;19990.0;5;128;3;60.0;7241.14
11;14;10;48;25990.0;6;118;2;60.0;9038.67
6;19;10;81;33990.0;7;139;1;60.0;12430.16
27;0;15932;25;14990.0;5;115;3;54.0;5849.78
11;14;10;100;44990.0;8;219;3;60.0;14995.81
8;17;10;25;19990.0;5;111;3;60.0;7823.79
10;15;10;79;31990.0;7;132;3;60.0;14018.4
14;11;22545;119;41990.0;11;136;3;60.0;15497.94
42;0;32862;97;21990.0;6;134;3;42.0;10780.6
8;17;10;82;28990.0;7;114;3;60.0;10272.4
34;0;23119;80;23990.0;7;128;1;48.0;8612.56
22;3;18266;5;46990.0;11;146;5;60.0;21281.18
8;17;10;82;31990.0;7;114;3;60.0;11598.95
14;11;23064;25;17990.0;5;117;3;60.0;7625.85
19;6;11038;92;27990.0;7;132;7;60.0;11151.74
9;16;10;79;31990.0;7;132;3;60.0;14080.11
7;18;10;45;29990.0;0;0;3;60.0;10747.92
8;17;10;25;19990.0;5;111;3;60.0;7823.79
8;17;10;25;18990.0;4;123;1;60.0;7322.24
23;2;53312;29;26990.0;7;139;1;60.0;8447.54
15;9;17018;48;29990.0;8;127;7;60.0;10672.22
31;0;75562;8;40990.0;8;142;3;54.0;16211.24
9;28;10;114;34490.0;8;119;6;60.0;14632.57
8;17;10;25;18990.0;4;123;1;60.0;6288.05
6;19;10;98;24990.0;5;138;3;60.0;8749.46
16;8;24137;93;24690.0;5;30;7;60.0;12813.15
46;0;44869;16;54990.0;22;163;1;36.0;25891.06
28;0;31685;81;30590.0;7;130;3;54.0;12560.05
13;12;22642;119;41490.0;11;136;3;60.0;15661.35
35;0;43809;126;44990.0;11;142;3;48.0;16751.89
17;8;25187;93;19990.0;5;128;3;60.0;8858.25
8;17;10;27;27990.0;7;122;1;60.0;9076.57
22;3;7897;40;44990.0;10;31;7;60.0;18692.24
7;18;10;81;36490.0;7;130;3;60.0;14348.42
28;0;37596;86;26990.0;7;218;3;54.0;9868.96
21;4;29922;85;40990.0;10;28;7;60.0;14416.69
35;0;18541;25;14990.0;4;129;1;48.0;4622.2
24;1;12068;54;33990.0;10;45;7;60.0;12906.5
18;7;15000;93;23490.0;7;130;1;60.0;8811.73
21;4;13277;72;21990.0;6;114;3;60.0;9161.69
40;0;70051;125;33990.0;10;167;3;42.0;15220.88
38;0;45782;52;29990.0;10;31;7;42.0;14353.89
24;1;15992;54;33990.0;10;45;7;60.0;12983.98
9;28;10;114;34490.0;8;119;6;60.0;14632.57
8;17;10;85;39990.0;7;121;3;60.0;13908.96
8;17;10;82;31990.0;7;114;3;60.0;11598.95
25;0;31848;48;21990.0;6;122;7;60.0;6310.02
8;17;10;82;31990.0;7;114;3;60.0;11598.95
6;19;10;44;19990.0;5;128;3;60.0;7241.14
49;0;41585;4;33490.0;8;111;3;36.0;18568.03
48;0;74642;19;27990.0;8;119;3;36.0;11810.19
23;1;13952;81;31990.0;7;130;3;60.0;11653.45
12;12;7184;72;23990.0;7;123;1;60.0;9530.36
9;28;10;114;34490.0;8;119;6;60.0;14632.57
7;18;10;82;31990.0;7;114;3;60.0;11687.93
8;17;10;82;28990.0;7;114;3;60.0;10272.4
46;0;92476;9;42990.0;18;158;3;36.0;21725.35
23;2;16000;88;28990.0;7;138;3;60.0;9264.38
3;22;15;94;19990.0;5;117;1;60.0;8237.88
12;13;3312;82;29990.0;7;115;3;60.0;11281.49
7;18;500;45;35990.0;7;191;3;60.0;12887.35
7;18;500;45;35490.0;7;191;3;60.0;12887.35
23;2;18011;25;20490.0;6;124;1;60.0;6808.58
6;19;10;84;38990.0;7;142;1;60.0;14816.28
13;11;10270;19;38390.0;7;140;1;60.0;12365.78
8;17;10;47;39990.0;8;131;6;60.0;18076.42
24;1;14835;64;69899.0;0;45;5;60.0;24047.76
24;1;9992;54;33990.0;10;45;7;60.0;12124.75
19;6;46720;27;24990.0;7;130;1;60.0;9818.72
13;12;12381;82;30490.0;7;114;3;60.0;10699.56
8;16;10;82;28990.0;7;114;3;60.0;10272.4
23;2;8175;123;41200.0;8;134;3;60.0;13560.31
31;0;9122;66;37790.0;13;160;1;54.0;14605.93
9;16;10;29;35490.0;7;140;1;60.0;13831.27
6;19;10;84;38990.0;7;133;3;60.0;14340.98
6;19;10;98;24990.0;5;138;3;60.0;8749.46
19;66;22243;57;29290.0;8;140;1;60.0;12105.47
8;17;10;85;36990.0;7;121;3;60.0;12865.52
15;10;6300;25;17490.0;5;111;3;60.0;6802.62
6;19;10;44;19990.0;5;128;3;60.0;7241.14
16;9;7572;77;32990.0;8;177;3;60.0;11559.14
38;0;100235;81;19990.0;6;106;3;42.0;8469.57
25;0;25438;1;24990.0;6;117;7;54.0;8156.6
60;0;80566;17;35990.0;15;148;1;24.0;21040.75
8;17;10;82;31990.0;7;114;3;60.0;11598.95
24;1;21380;5;45890.0;9;146;5;60.0;20464.71
41;0;79428;81;26490.0;9;161;3;42.0;12408.65
6;19;10;82;31990.0;7;114;3;60.0;11743.96
8;17;10;25;19490.0;5;111;3;60.0;7823.79
24;1;13012;23;24990.0;5;142;3;60.0;6747.3
13;11;30149;26;21010.0;6;136;1;60.0;7835.42
39;0;29629;2;32990.0;6;40;7;42.0;17480.2
4;20;2;42;20360.0;4;105;7;60.0;7988.62
7;18;507;42;19860.0;4;105;7;60.0;7337.48
4;21;510;42;19860.0;4;105;7;60.0;7554.63
4;21;512;42;19860.0;4;105;7;60.0;7554.63
4;21;505;42;19860.0;4;105;7;60.0;7554.63
7;18;505;42;19860.0;4;105;7;60.0;7337.48
8;17;8;35;26700.0;8;157;1;60.0;11220.52
4;21;506;42;19860.0;4;105;7;60.0;7554.63
7;18;510;42;19860.0;4;105;7;60.0;7337.48
8;17;10;93;27390.0;7;130;7;60.0;12634.0
6;19;2;25;20860.0;4;123;1;60.0;7533.71
23;2;19500;37;18544.0;5;131;4;60.0;5474.33
10;15;6000;84;41562.0;7;133;3;60.0;15904.18
4;33;10;67;26864.0;6;137;1;60.0;11360.83
8;17;10;35;22490.0;7;141;1;60.0;9628.84
4;21;10;29;36490.0;7;130;3;60.0;14264.18
13;12;7572;25;18744.0;4;123;1;60.0;5907.03
13;12;6649;25;17924.0;4;123;1;60.0;5635.7
9;16;10;35;22490.0;7;141;1;60.0;9605.44
8;17;10;80;22600.0;5;115;1;60.0;9398.22
25;0;28167;80;20900.0;5;118;1;60.0;5845.49
10;15;24010;35;22000.0;6;127;3;60.0;9578.54
10;15;10;97;28490.0;7;143;1;60.0;10800.0
5;19;2;25;23860.0;6;120;1;60.0;8674.18
8;16;25;25;18490.0;4;123;1;60.0;6840.74
5;20;2;25;23860.0;6;120;1;60.0;8674.18
48;0;33583;66;23344.0;7;122;1;36.0;8400.09
24;1;30761;26;19492.0;6;126;3;60.0;6292.5
12;13;10735;80;23500.0;5;121;1;60.0;8601.89
28;0;23106;80;18744.0;5;118;1;54.0;6226.48
10;14;8546;80;24400.0;5;121;1;60.0;8878.23
10;14;10;95;22490.0;5;134;3;60.0;7727.64
10;15;6000;81;38762.0;7;130;3;60.0;14891.1
17;8;671;81;42490.0;10;31;6;60.0;17091.14
40;0;54104;25;16424.0;5;117;3;42.0;6794.64
10;15;7320;80;25100.0;5;121;1;60.0;8889.25
3;22;2;25;23860.0;6;134;1;60.0;11293.83
6;19;10;29;36364.0;7;130;3;60.0;14322.93
30;0;42785;25;17248.0;5;117;3;54.0;6612.36
4;21;10;29;36490.0;7;130;3;60.0;14264.18
10;15;10;80;29090.0;7;122;1;60.0;11142.41
4;21;10;29;36490.0;7;130;3;60.0;14264.18
11;14;10;81;36190.0;7;139;1;60.0;14242.68
2;23;10;104;26990.0;6;120;1;60.0;11660.72
12;13;12605;80;24300.0;5;121;1;60.0;8580.33
30;0;43664;25;17244.0;5;117;3;54.0;6561.28
3;22;2;25;23860.0;6;134;1;60.0;11293.83
6;19;13;93;34360.0;5;30;7;60.0;19347.62
4;21;9;93;34360.0;5;30;7;60.0;19474.57
3;22;16;85;38860.0;7;130;3;60.0;13960.88
4;21;12;93;34360.0;5;30;7;60.0;19453.72
3;22;4;85;37860.0;7;130;3;60.0;13296.08
4;21;3;85;38860.0;7;130;3;60.0;13775.49
7;18;7;93;32360.0;7;134;7;60.0;13105.21
4;21;10;93;34360.0;5;30;7;60.0;19453.72
4;21;9;93;34360.0;5;30;7;60.0;19474.57
3;34;10;114;36860.0;8;120;6;60.0;16159.45
3;22;4;85;38860.0;7;130;3;60.0;13960.88
5;20;2;84;38860.0;7;141;1;60.0;16785.03
4;21;10;93;34360.0;5;30;7;60.0;19453.72
5;20;4;85;37260.0;7;130;3;60.0;13018.68
3;22;3;85;38860.0;7;130;3;60.0;13960.88
3;22;2;85;38860.0;7;130;3;60.0;13960.88
6;19;2;84;36860.0;7;142;1;60.0;15752.47
5;20;2;85;37260.0;7;130;3;60.0;13018.68
5;19;3;82;33660.0;7;128;3;60.0;12380.3
5;20;2;82;33660.0;7;128;3;60.0;12380.3
2;23;4;85;38860.0;7;130;3;60.0;14199.57
3;33;5;114;36860.0;8;120;6;60.0;16157.56
3;33;4;114;36860.0;8;120;6;60.0;16157.56
3;34;10;114;36860.0;8;120;6;60.0;16159.45
3;22;9;94;20360.0;5;117;1;60.0;9061.08
3;22;1;29;34860.0;7;130;3;60.0;13630.17
3;22;1;29;34860.0;7;130;3;60.0;13630.17
6;19;7;29;35860.0;7;145;3;60.0;15341.55
4;21;6;29;35860.0;7;130;3;60.0;14017.9
4;20;9;29;35860.0;7;130;3;60.0;14017.9
5;20;5;29;35460.0;7;130;3;60.0;13947.4
19;6;45;123;33000.0;7;142;1;60.0;12772.62
4;20;12;29;35860.0;7;130;3;60.0;14017.9
5;20;5;29;35860.0;7;130;3;60.0;14104.74
3;22;4;29;35860.0;7;145;3;60.0;15172.52
3;22;5;29;35860.0;7;130;3;60.0;14021.16
3;22;1;29;34860.0;7;145;3;60.0;14749.41
4;21;2;29;34860.0;7;130;3;60.0;13626.99
3;22;1;29;34860.0;7;145;3;60.0;14749.41
3;22;1;29;34860.0;7;130;3;60.0;13630.17
5;20;5;29;35860.0;7;130;3;60.0;14104.74
3;22;3;29;35460.0;7;130;3;60.0;13864.77
10;15;4;27;30060.0;7;129;3;60.0;12178.76
6;19;2;27;29860.0;7;129;3;60.0;12669.7
19;6;29594;29;26360.0;7;139;1;60.0;9114.03
4;21;4;29;35860.0;7;130;3;60.0;14017.9
5;20;16;29;35860.0;7;130;3;60.0;14113.2
3;22;3;29;35860.0;7;145;3;60.0;15172.52
18;7;27090;29;26860.0;7;139;1;60.0;9260.1
4;21;1;29;34860.0;7;145;3;60.0;14752.94
3;22;1;29;34860.0;7;130;3;60.0;13630.17
3;22;1;29;34860.0;7;130;3;60.0;13630.17
4;21;2;29;34860.0;7;130;3;60.0;13626.99
4;21;1;29;34860.0;7;145;3;60.0;14752.94
3;22;1;29;34860.0;7;130;3;60.0;13630.17
4;21;2;29;34860.0;7;145;3;60.0;14752.94
4;21;1;29;34860.0;7;130;3;60.0;13626.99
3;22;1;29;34860.0;7;145;3;60.0;14749.41
3;22;1;29;34860.0;7;145;3;60.0;14749.41
3;22;4;29;35460.0;7;130;3;60.0;13864.77
14;11;10;26;27800.0;7;145;1;60.0;8957.67
18;7;17910;84;35990.0;7;133;3;60.0;13094.51
24;1;36372;79;28490.0;7;125;1;60.0;9159.0
9;16;10;26;29000.0;6;130;3;60.0;8606.12
3;21;10;83;40490.0;7;136;1;60.0;15151.37
17;8;10;27;28800.0;6;113;3;60.0;9499.64
9;16;1100;25;23500.0;5;117;3;60.0;8861.5
11;14;15627;25;16900.0;4;123;1;60.0;6886.97
10;15;90;25;21800.0;5;111;3;60.0;7207.87
5;20;60;80;24990.0;5;109;3;60.0;8933.92
11;14;10500;27;21490.0;5;122;1;60.0;7926.11
10;75;14504;56;36990.0;7;146;5;60.0;10281.14
42;0;31253;79;19790.0;7;112;1;42.0;7990.3
3;21;10;94;22490.0;5;108;4;60.0;9052.56
5;20;3;25;23660.0;6;120;1;60.0;8674.19
4;21;2;81;36460.0;7;139;1;60.0;16316.06
25;0;16500;81;40860.0;10;31;6;60.0;16453.64
24;1;1310;29;37000.0;10;32;7;60.0;14491.12
9;51;10;34;33060.0;8;142;1;60.0;12519.87
4;21;2;25;22360.0;6;120;1;60.0;10153.43
6;19;2;27;28860.0;7;129;3;60.0;12669.7
13;12;10;76;29100.0;5;125;1;60.0;8119.06
10;15;16645;35;21900.0;6;127;3;60.0;9606.05
25;0;31606;25;17432.0;6;124;1;54.0;7035.15
13;12;25;9;58060.0;11;166;5;60.0;27164.98
2;23;10;94;20864.0;5;117;1;60.0;9187.59
2;23;10;94;20864.0;5;117;1;60.0;9187.59
8;17;4;27;30060.0;7;129;3;60.0;12359.26
6;19;2;27;28860.0;7;129;3;60.0;12669.7
9;51;9;34;33060.0;8;142;1;60.0;12519.87
19;6;40;29;37400.0;10;32;7;60.0;15180.23
13;48;5089;34;33860.0;8;142;1;60.0;12475.78
2;23;10;94;20864.0;5;117;1;60.0;9187.59
2;23;10;94;20864.0;5;117;1;60.0;9187.59
19;6;28;122;35060.0;8;126;3;60.0;11316.19
4;21;2;27;28860.0;7;129;3;60.0;13230.9
5;20;2;27;28860.0;7;129;3;60.0;12760.0
18;7;20;81;36800.0;7;135;3;60.0;14597.34
8;17;4;27;30060.0;7;129;3;60.0;12359.26
14;11;26253;26;21242.0;6;136;1;60.0;7802.05
3;22;2;81;37860.0;7;142;3;60.0;17687.73
4;21;2;84;42860.0;7;146;3;60.0;18359.71
3;22;2;81;37860.0;7;142;3;60.0;17687.73
14;11;10532;76;30700.0;7;132;1;60.0;12700.61
13;12;23107;26;21550.0;6;130;3;60.0;7424.44
14;11;28358;26;21482.0;6;136;1;60.0;7756.78
2;23;10;35;27134.0;6;139;3;60.0;12551.7
2;23;10;35;26634.0;6;139;3;60.0;12320.42
2;23;10;81;47860.0;11;27;6;60.0;25208.85
24;1;24419;79;28990.0;7;125;1;60.0;9377.74
6;19;10;25;22360.0;5;117;3;60.0;9187.54
22;3;30975;25;17264.0;6;124;1;60.0;6745.25
8;17;10;104;25490.0;6;120;1;60.0;8303.65
7;18;10;122;31990.0;8;135;1;60.0;11861.19
7;18;2;25;22560.0;5;117;3;60.0;9039.48
8;17;10;35;22490.0;7;141;1;60.0;9628.84
13;12;7998;81;43900.0;11;30;6;60.0;20401.57
48;0;35490;66;23544.0;7;122;1;36.0;8365.22
17;8;19505;73;19100.0;5;124;1;60.0;5973.67
15;9;24700;27;26490.0;7;129;3;60.0;10623.81
10;15;6000;84;41844.0;7;133;3;60.0;15904.18
17;7;18585;59;41900.0;10;128;3;60.0;17499.12
23;2;20302;25;16924.0;4;123;1;60.0;6352.6
9;16;10;47;33490.0;8;127;5;60.0;14084.42
22;3;54279;79;25600.0;7;133;1;60.0;8528.28
13;12;20071;81;43900.0;11;30;6;60.0;19912.63
18;6;13349;47;35900.0;8;127;5;60.0;14029.89
15;9;25300;27;26490.0;7;129;3;60.0;11147.29
8;17;10;9;59990.0;8;120;3;60.0;16304.26
23;1;50598;79;26300.0;5;123;1;60.0;7204.2
8;17;56;80;24990.0;5;109;3;60.0;8672.5
9;16;10;25;19990.0;6;120;1;60.0;8294.63
8;17;4991;29;35990.0;7;130;3;60.0;13943.3
8;17;10;97;32490.0;6;131;3;60.0;6785.37
3;22;10;94;21864.0;5;117;1;60.0;9787.66
24;0;28700;59;34900.0;8;126;3;60.0;14432.03
25;0;23514;79;22990.0;5;123;1;60.0;7008.7
13;12;9159;25;17972.0;4;123;1;60.0;5902.38
13;12;10;81;37990.0;7;130;3;60.0;14512.33
10;75;15;56;33900.0;8;148;7;60.0;13724.53
40;0;81103;79;16312.0;5;104;1;42.0;6565.4
40;0;89501;79;17112.0;6;102;1;42.0;6928.47
9;16;10;47;33490.0;8;127;5;60.0;14788.64
22;3;39043;25;16212.0;4;123;1;60.0;6216.91
8;17;10;35;22490.0;7;141;1;60.0;9628.84
16;9;50;79;30800.0;6;116;3;60.0;9977.76
48;0;36472;66;23544.0;7;122;1;36.0;8305.26
13;12;15860;81;43900.0;11;30;6;60.0;19985.79
16;9;8128;19;44744.0;10;142;3;60.0;20854.75
6;19;2;27;29860.0;7;129;3;60.0;12669.7
6;19;10;82;35600.0;7;128;3;60.0;12319.74
22;2;10850;85;28900.0;7;131;1;60.0;9233.15
10;15;6000;84;41844.0;7;133;3;60.0;15904.18
14;11;10135;84;36700.0;7;142;1;60.0;13184.21
22;2;9045;85;28400.0;7;131;1;60.0;8684.8
5;20;2;27;29860.0;7;129;3;60.0;12760.0
26;0;19119;80;21192.0;5;109;3;54.0;6714.84
6;19;10;87;42000.0;7;183;3;60.0;13215.46
4;21;2;27;29860.0;7;129;3;60.0;13689.35
13;12;15530;85;41600.0;10;28;7;60.0;14435.11
22;2;28370;84;36800.0;7;139;3;60.0;13001.81
25;0;29031;84;37300.0;7;149;1;60.0;11933.44
51;0;51455;84;30100.0;6;102;3;30.0;10884.06
26;0;29047;25;16660.0;4;123;1;54.0;6547.11
8;16;30;82;38200.0;7;128;1;60.0;12715.23
15;9;55;82;43100.0;10;25;7;60.0;16964.13
6;19;2;25;20860.0;4;123;1;60.0;7533.71
13;12;10;82;33800.0;7;117;3;60.0;13833.16
28;0;15950;82;24100.0;5;118;3;54.0;7796.27
7;18;30;48;31300.0;6;129;7;60.0;11554.87
7;18;10;25;20090.0;4;123;1;60.0;7396.83
33;0;55877;84;29430.0;10;167;1;48.0;12992.69
6;19;10;25;20090.0;4;123;1;60.0;7533.71
7;18;30;40;51700.0;7;143;3;60.0;20441.15
40;0;58100;119;22882.0;8;129;1;42.0;9501.52
9;16;6181;19;40060.0;8;129;3;60.0;17429.41
5;19;10;119;29990.0;6;110;3;60.0;12085.22
8;17;22;9;59060.0;9;148;5;60.0;27184.21
11;14;10;25;18490.0;4;123;1;60.0;6110.54
8;17;41;9;61060.0;11;166;5;60.0;28431.45
5;20;12;8;51860.0;8;141;3;60.0;22048.69
11;14;12;35;24300.0;7;141;1;60.0;10488.96
7;17;9;35;27000.0;6;139;3;60.0;12056.57
7;17;7;35;27000.0;6;139;3;60.0;12056.57
7;17;5;35;27000.0;6;139;3;60.0;12056.57
7;17;7;35;27000.0;6;139;3;60.0;12056.57
6;19;1;29;36860.0;7;130;3;60.0;14405.87
7;17;6;35;27000.0;6;139;3;60.0;12056.57
7;17;7;35;27000.0;6;139;3;60.0;12056.57
7;17;7;35;27000.0;6;139;3;60.0;12056.57
7;17;5;35;27000.0;6;139;3;60.0;12056.57
12;49;5936;34;33860.0;8;142;1;60.0;12534.55
7;17;7;35;27000.0;6;139;3;60.0;12056.57
12;49;5940;34;32860.0;8;142;1;60.0;12164.69
7;17;4;35;27000.0;6;139;3;60.0;12056.57
10;15;47;35;24300.0;7;141;1;60.0;10540.78
10;15;6;35;24300.0;7;141;1;60.0;10542.29
7;17;7;35;27000.0;6;139;3;60.0;12056.57
5;20;2;84;40860.0;7;149;1;60.0;17668.34
3;22;3;84;41860.0;7;146;3;60.0;18103.11
4;21;2;81;36360.0;7;139;1;60.0;16703.6
3;22;5;82;34860.0;7;114;3;60.0;13082.07
4;21;2;81;36860.0;7;139;1;60.0;16933.3
3;22;2;80;27860.0;7;122;1;60.0;12985.88
5;20;4;81;37860.0;7;142;3;60.0;17318.32
4;21;3;81;48860.0;11;27;6;60.0;25211.21
7;18;5;81;34860.0;7;130;3;60.0;14348.41
5;20;4;81;37860.0;7;142;3;60.0;17318.32
5;20;6;79;38560.0;4;0;0;60.0;14652.72
3;22;4;81;45860.0;10;28;6;60.0;22847.72
2;23;10;81;47860.0;11;27;6;60.0;25208.85
46;0;20403;82;21860.0;6;99;3;36.0;9362.82
3;22;1;80;27860.0;7;122;1;60.0;12985.88
5;20;3;81;47860.0;11;27;6;60.0;24562.72
5;19;2;81;39860.0;7;142;3;60.0;17996.3
5;19;2;81;40260.0;7;142;3;60.0;18176.89
5;20;4;81;37860.0;7;142;3;60.0;17318.32
4;21;3;81;48860.0;11;27;6;60.0;25211.21
5;20;3;81;37860.0;7;142;3;60.0;17318.32
5;20;2;80;27860.0;7;122;1;60.0;11695.96
5;20;2;81;37860.0;7;142;3;60.0;17318.32
31;0;49908;81;27860.0;7;146;1;48.0;9731.78
5;20;4;81;37860.0;7;142;3;60.0;17318.32
5;20;4;81;33860.0;7;139;1;60.0;15093.51
5;20;5;81;47860.0;11;27;6;60.0;24562.72
3;22;7;79;26860.0;7;125;1;60.0;11398.2
5;20;4;81;37860.0;7;142;3;60.0;17318.32
7;18;4;81;34860.0;7;130;3;60.0;14348.41
5;20;2;80;28860.0;7;122;1;60.0;11695.96
6;19;2;80;25860.0;5;109;3;60.0;10251.11
7;18;9;80;25860.0;5;109;3;60.0;10152.23
7;18;2;81;34860.0;7;130;3;60.0;14348.42
7;18;3;81;34860.0;7;130;3;60.0;14348.41
6;18;7;79;37860.0;4;0;0;60.0;14507.36
6;19;2;73;19860.0;5;106;3;60.0;7900.06
24;1;43657;74;17860.0;5;125;3;60.0;5765.19
6;19;10;76;27460.0;6;116;3;60.0;10402.72
9;15;4;54;39060.0;7;41;7;60.0;14839.92
9;28;6;69;31360.0;7;143;7;60.0;12802.7
6;19;3;76;27860.0;7;123;1;60.0;9592.23
5;20;2;76;27860.0;7;123;1;60.0;11484.31
6;18;2;73;20260.0;5;106;3;60.0;8059.18
10;15;3;76;29960.0;7;123;1;60.0;8809.79
6;19;2;73;19860.0;5;106;3;60.0;7900.06
10;15;3;76;30660.0;7;123;1;60.0;9250.28
7;18;3;80;25860.0;5;109;3;60.0;10152.23
3;22;22;79;26860.0;7;125;1;60.0;11385.36
6;19;2;73;19860.0;5;106;3;60.0;7900.06
6;19;2;73;20560.0;5;106;3;60.0;8178.51
8;17;10989;64;56860.0;9;151;3;60.0;23046.36
10;15;5;53;44060.0;7;41;7;60.0;16094.46
6;18;2;73;19860.0;5;106;3;60.0;7900.06
8;29;6;69;35760.0;8;144;7;60.0;16605.38
6;19;2;73;19860.0;5;106;3;60.0;7900.06
10;15;3;76;30660.0;7;123;1;60.0;9250.28
11;14;10;76;30660.0;7;123;1;60.0;9164.79
5;20;2;76;27460.0;6;116;3;60.0;11956.79
6;19;3;76;29760.0;7;123;1;60.0;9592.23
7;18;8;44;18660.0;5;128;3;60.0;7117.84
8;17;10;44;18260.0;5;128;3;60.0;6946.58
7;18;8;44;18660.0;5;128;3;60.0;7117.84
7;18;11;44;18660.0;5;128;3;60.0;7117.84
7;18;7;44;18660.0;5;128;3;60.0;7117.84
4;21;8;48;29860.0;6;121;7;60.0;10145.03
9;16;8;44;18860.0;5;128;3;60.0;6989.96
9;16;8;44;18860.0;5;128;3;60.0;6989.96
5;20;11;48;29860.0;6;129;7;60.0;11073.12
9;16;11;44;18860.0;5;128;3;60.0;6989.96
4;21;10;48;29860.0;6;121;7;60.0;10145.03
9;16;10;44;18860.0;5;128;3;60.0;6989.96
11;26;7;69;31560.0;7;143;7;60.0;12589.09
4;21;9;48;29860.0;6;121;7;60.0;10145.03
4;21;48;47;40860.0;8;23;7;60.0;20329.39
4;20;8;48;29860.0;6;129;7;60.0;11002.77
5;19;9;48;29860.0;6;121;7;60.0;10042.01
7;18;5;44;18660.0;5;128;3;60.0;7117.84
7;18;9;44;18660.0;5;128;3;60.0;7117.84
2;23;3;30;37020.0;7;242;3;60.0;14053.48
7;18;7;44;18300.0;5;128;3;60.0;7117.84
7;18;7;44;18660.0;5;128;3;60.0;7117.84
7;18;7;44;19260.0;5;128;3;60.0;7117.84
3;22;10;8;46990.0;8;141;3;60.0;20266.52
12;13;12045;80;24400.0;5;121;1;60.0;8581.87
25;0;35394;80;20724.0;5;109;3;60.0;6037.09
5;19;3;26;26860.0;7;142;1;60.0;9007.69
9;28;10;69;30864.0;7;142;7;60.0;13957.72
9;16;40;80;30300.0;7;120;1;60.0;11582.52
10;14;11250;80;24600.0;5;121;1;60.0;8802.79
3;22;10;8;46990.0;8;141;3;60.0;20266.52
12;13;10;40;43984.0;7;143;3;60.0;18608.75
3;22;10;8;46990.0;8;141;3;60.0;20266.52
10;15;6000;81;38762.0;7;130;3;60.0;14891.1
19;5;19962;20;43490.0;10;141;3;60.0;17771.01
10;14;17420;80;24300.0;5;121;1;60.0;8651.88
10;15;14665;80;24400.0;5;121;1;60.0;8738.34
29;0;25110;81;36800.0;10;30;7;54.0;15788.69
26;0;22789;80;21024.0;5;109;3;54.0;6644.27
7;17;30;81;39400.0;7;145;1;60.0;15782.77
4;21;11;26;26360.0;7;142;1;60.0;10057.06
24;1;33994;81;33000.0;7;145;1;60.0;11287.6
5;20;2;26;26860.0;7;142;1;60.0;9007.69
9;16;20;80;22800.0;5;115;1;60.0;9539.04
5;19;2;26;26860.0;7;142;1;60.0;9007.69
8;17;10;27;28864.0;7;119;1;60.0;10590.24
43;0;35960;79;20472.0;7;112;1;42.0;7835.38
10;14;10;9;70490.0;11;166;5;60.0;30509.07
5;20;10;123;36864.0;8;146;1;60.0;15637.43
21;3;13900;20;42090.0;10;141;3;60.0;16854.72
12;13;17690;80;23900.0;5;121;1;60.0;8450.88
10;15;11880;80;24400.0;5;121;1;60.0;8785.5
10;15;6000;82;29544.0;7;125;1;60.0;10625.23
19;6;10;88;34490.0;7;138;3;60.0;9812.21
11;26;10;70;24490.0;6;151;1;60.0;8681.02
8;17;585;25;20484.0;4;123;1;60.0;7313.72
5;20;2;26;24860.0;6;126;3;60.0;8165.26
7;18;10;92;35864.0;8;131;7;60.0;15586.18
43;0;84653;65;29490.0;7;164;3;42.0;13004.81
12;13;10810;80;23800.0;5;121;1;60.0;8362.18
13;12;10429;26;22124.0;6;132;1;60.0;8587.48
12;13;11710;80;23600.0;5;121;1;60.0;8581.87
10;15;6000;81;38762.0;7;130;3;60.0;14891.1
18;7;9272;19;39490.0;7;140;1;60.0;16359.89
5;20;2;25;20460.0;4;123;1;60.0;7601.91
5;20;2;25;20560.0;4;123;1;60.0;7601.91
6;19;2;25;20860.0;4;123;1;60.0;7533.71
12;13;11185;80;23900.0;5;121;1;60.0;8598.82
44;0;27733;62;28490.0;7;138;1;36.0;15013.45
33;0;28085;3;44990.0;13;180;3;48.0;22481.55
3;22;8;81;42860.0;10;28;6;60.0;21740.59
4;21;10;93;34360.0;5;30;7;60.0;19453.72
